Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Travis,20170705,1300,38.16,-121.56,1,201707000000.0,7,13,Summer,26.58081,33.63014,17.98199,16,10.0,1012.3,722
Travis,20170808,1000,38.16,-121.56,1,201708000000.0,8,10,Summer,56.36597,23.94707,14.02611,18,10.0,1010.6,722
Peterson,20180517,1000,38.82,-104.71,1879,201805000000.0,5,10,Spring,12.18872,46.47293,15.0094,5,10.0,808.3,722
Grissom,20180803,1030,40.67,-86.15,239,201808000000.0,8,10,Summer,58.58154,32.83958,12.40477,0,10.0,989.2,722
USAFA,20180722,1130,38.95,-104.83,1947,201807000000.0,7,11,Summer,14.2395,43.90991,17.95609,10,10.0,804.0,722
Peterson,20171029,1100,38.82,-104.71,1879,201710000000.0,10,11,Fall,2.69165,43.90236,10.23394,6,10.0,808.0,722
JDMT,20170905,1200,26.98,-80.11,2,201709000000.0,9,12,Fall,42.5354,40.70488,16.28622,10,10.0,1016.2,250
Hill Weber,20170925,1345,41.15,-111.99,1370,201709000000.0,9,13,Fall,16.57104,36.73447,22.15512,5,10.0,855.5,722
JDMT,20170712,1200,26.98,-80.11,2,201707000000.0,7,12,Summer,81.39038,30.96138,10.42446,10,10.0,1018.2,60
Travis,20180801,1400,38.16,-121.56,1,201808000000.0,8,14,Summer,31.17676,34.78073,17.65904,16,10.0,1009.6,722
Peterson,20171001,1200,38.82,-104.71,1879,201710000000.0,10,12,Fall,15.58838,35.52345,17.8797,23,10.0,803.8,250
Peterson,20180806,1315,38.82,-104.71,1879,201808000000.0,8,13,Summer,80.81665,29.08821,2.35611,0,10.0,815.6,100
Travis,20180829,1300,38.16,-121.56,1,201808000000.0,8,13,Summer,38.11646,28.98499,16.27062,17,10.0,1011.6,722
Travis,20180914,1000,38.16,-121.56,1,201809000000.0,9,10,Fall,48.7793,25.1178,7.17792,0,10.0,1011.6,722
Offutt,20180419,1400,41.13,-95.75,380,201804000000.0,4,14,Spring,17.41333,26.43707,22.44339,3,10.0,993.2,722
Peterson,20170911,1000,38.82,-104.71,1879,201709000000.0,9,10,Fall,7.89185,52.90817,11.31403,6,10.0,819.6,722
Hill Weber,20180830,1245,41.15,-111.99,1370,201808000000.0,8,12,Summer,13.09204,34.87892,21.11503,15,10.0,852.5,722
Grissom,20180714,1500,40.67,-86.15,239,201807000000.0,7,15,Summer,57.01294,30.39993,1.73056,6,10.0,988.8,722
USAFA,20180924,1315,38.95,-104.83,1947,201809000000.0,9,13,Fall,87.54883,18.05817,3.83592,5,6.0,799.2,722
March AFB,20180111,1145,33.9,-117.26,458,201801000000.0,1,11,Winter,78.52783,15.54298,11.76979,0,2.0,968.9,2
Kahului,20171213,1200,20.89,-156.44,2,201712000000.0,12,12,Winter,56.44531,26.53275,13.21004,17,10.0,1016.1,722
USAFA,20180824,1545,38.95,-104.83,1947,201808000000.0,8,15,Summer,9.31396,58.66112,12.11466,11,10.0,799.5,722
Peterson,20180405,1200,38.82,-104.71,1879,201804000000.0,4,12,Spring,8.8501,23.83125,7.29152,8,10.0,809.4,250
March AFB,20180601,1500,33.9,-117.26,458,201806000000.0,6,15,Summer,19.06128,34.9192,18.14916,8,10.0,959.2,722
USAFA,20180611,1245,38.95,-104.83,1947,201806000000.0,6,12,Summer,9.21631,41.90331,20.07503,18,10.0,798.4,722
JDMT,20170523,1500,26.98,-80.11,2,201705000000.0,5,15,Spring,38.62915,37.46208,14.94319,15,10.0,1011.8,230
Peterson,20180416,1500,38.82,-104.71,1879,201804000000.0,4,15,Spring,7.70874,26.41945,5.61545,23,10.0,804.4,180
Peterson,20180315,1500,38.82,-104.71,1879,201803000000.0,3,15,Spring,8.70361,25.9008,10.94568,13,10.0,794.8,722
Hill Weber,20180806,1300,41.15,-111.99,1370,201808000000.0,8,13,Summer,10.65674,44.46381,20.46589,6,10.0,858.1,722
JDMT,20180110,1200,26.98,-80.11,2,201801000000.0,1,12,Winter,70.15991,29.72519,12.92697,6,10.0,1016.9,230
Kahului,20180129,1100,20.89,-156.44,2,201801000000.0,1,11,Winter,67.21802,27.16217,17.20337,11,10.0,1008.7,722
Travis,20170826,1000,38.16,-121.56,1,201708000000.0,8,10,Summer,35.20508,32.33604,12.21419,0,10.0,1010.6,722
Malmstrom,20171123,1500,47.52,-111.18,1043,201711000000.0,11,15,Fall,39.97192,18.76312,1.89982,26,10.0,883.5,722
Kahului,20180314,1500,20.89,-156.44,2,201803000000.0,3,15,Spring,68.35327,25.86555,6.21691,21,10.0,1012.8,722
Camp Murray,20171221,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,36.56006,18.66745,3.62394,0,10.0,1019.3,722
Hill Weber,20170718,1300,41.15,-111.99,1370,201707000000.0,7,13,Summer,15.44189,45.09323,19.61731,10,10.0,854.9,722
Malmstrom,20180818,1100,47.52,-111.18,1043,201808000000.0,8,11,Summer,31.21338,27.07405,3.66859,11,10.0,898.7,722
